,source_id,bp_rp,phot_g_mean_mag,parallax,teff_val,lum_val
0,2.0865790875973788e+18,0.3288,9.026286,4.1128,7484.25,10.774297
1,2.0865790875973788e+18,0.3288,9.026286,4.1128,7484.25,10.774297
2,2.0821670910366423e+18,0.705627,11.70687,1.4424,6194.0,7.3062863
3,2.0821670910366423e+18,0.705627,11.70687,1.4424,6194.0,7.3062863
4,2.0864744321385336e+18,0.493571,11.024454,0.8979,7070.0,35.382164
5,2.0864744321385336e+18,0.493571,11.024454,0.8979,7070.0,35.382164
6,2.1168089615118213e+18,-0.481909,15.587913,0.4073,8868.667,
7,2.1168089615118213e+18,-0.481909,15.587913,0.4073,8868.667,
8,2.0991910357237988e+18,0.950703,12.272094,2.6679,5383.0,1.3367783000000002
9,2.1196896819751657e+18,0.710919,11.78923,2.2392,6452.7676,2.799748
10,2.1196896819751657e+18,0.710919,11.78923,2.2392,6452.7676,2.799748
11,2.0735157555970568e+18,0.514566,11.857692,1.3772,7253.0,7.015471499999999
12,2.0735157555970568e+18,0.514566,11.857692,1.3772,7253.0,7.015471499999999
13,2.08024989065444e+18,0.498463,12.217384,1.285,7149.6665,5.768292
14,2.08024989065444e+18,0.498463,12.217384,1.285,7149.6665,5.768292
15,2.1303024774462008e+18,0.6838609999999999,12.240069,1.6491,6375.2124,3.4101547999999995
16,2.1303024774462008e+18,0.6838609999999999,12.240069,1.6491,6375.2124,3.4101547999999995
17,2.1303024774462008e+18,0.6838609999999999,12.240069,1.6491,6375.2124,3.4101547999999995
18,2.1303024774462008e+18,0.684,12.2401,1.6491,6375.2124,3.4101547999999995
19,2.1303024774462008e+18,0.684,12.2401,1.6491,6375.2124,3.4101547999999995
20,2.1303024774462008e+18,0.684,12.2401,1.6491,6375.2124,3.4101547999999995
21,2.1300464243757432e+18,0.619189,11.281407000000002,1.5212,6540.9053,9.680811
22,2.1300464243757432e+18,0.619189,11.281407000000002,1.5212,6540.9053,9.680811
23,2.079008262848606e+18,0.720378,12.286317,0.7184,6141.6333,17.293943
24,2.079008262848606e+18,0.720378,12.286317,0.7184,6141.6333,17.293943
25,2.116757177086516e+18,0.6979350000000001,11.53299,2.4549,6261.0,2.9562275000000002
26,2.116757177086516e+18,0.6979350000000001,11.53299,2.4549,6261.0,2.9562275000000002
27,2.12715907678201e+18,0.597174,11.132829,2.144,6504.0,5.5886154
28,2.12715907678201e+18,0.597174,11.132829,2.144,6504.0,5.5886154
29,2.1301834209527496e+18,0.586529,10.35499,1.5102,6552.168000000001,23.053244
30,2.1301834209527496e+18,0.586529,10.35499,1.5102,6552.168000000001,23.053244
31,2.10524014068289e+18,0.565049,11.010822,0.9758,6658.2354,30.186615000000003
